Key,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD
110,0.536824324,0.323310811,0.383547703,0.025,0.467375887,59.77495927,35.50626727,42.70848746,2.775,51.730349,0.538513147,0.319876282,0.384761148,0.025,0.46603918
111,0.5375,0.323102679,0.383471384,0.025,0.467154255,60.31245927,35.82936995,43.09195884,2.8,52.19750325,0.538504101,0.319905089,0.384749633,0.025,0.466049136
112,0.537942478,0.323230088,0.383214384,0.025,0.467087178,60.85040175,36.15260004,43.47517323,2.825,52.66459043,0.538499131,0.319934514,0.384736046,0.025,0.466058322
113,0.537719298,0.323245614,0.382850856,0.025,0.46703994,61.38812105,36.47584565,43.85802408,2.85,53.13163037,0.53849229,0.319963558,0.38471951,0.025,0.466066933
114,0.537608696,0.323152174,0.382713793,0.025,0.467086031,61.92572974,36.79899782,44.24073788,2.875,53.5987164,0.538484606,0.319991285,0.384702068,0.025,0.466075795
115,0.537931034,0.323275862,0.382579093,0.025,0.46714967,62.46366078,37.12227369,44.62331697,2.9,54.06586607,0.538479834,0.320019601,0.384683767,0.025,0.466085052
116,0.53792735,0.32275641,0.382446696,0.025,0.46717585,63.00158813,37.4450301,45.00576367,2.925,54.53304192,0.538475112,0.320042992,0.384664647,0.025,0.466094375
117,0.538347458,0.322563559,0.382852908,0.025,0.467021277,63.53993559,37.76759366,45.38861657,2.95,55.0000632,0.53847403,0.320064353,0.384649293,0.025,0.46610223
118,0.538760504,0.322689076,0.382786917,0.025,0.467137493,64.07869609,38.09028273,45.77140349,2.975,55.46720069,0.538476438,0.32008641,0.384633643,0.025,0.46611093
119,0.5384375,0.3228125,0.383034526,0.025,0.466985816,64.61713359,38.41309523,46.15443802,3,55.93418651,0.538476113,0.320109127,0.384620317,0.025,0.466118221
120,0.538429752,0.322830579,0.382554902,0.025,0.467117988,65.15556334,38.73592581,46.53699292,3.025,56.40130449,0.53847573,0.320131618,0.384603247,0.025,0.466126483
121,0.538319672,0.322848361,0.382390518,0.025,0.467091036,65.69388301,39.05877417,46.91938344,3.05,56.86839553,0.538474451,0.320153887,0.38458511,0.025,0.46613439
122,0.53851626,0.322764228,0.382060287,0.025,0.467151012,66.23239927,39.3815384,47.30144372,3.075,57.33554654,0.538474791,0.320175109,0.384564583,0.025,0.466142655
123,0.538709677,0.323084677,0.382003349,0.025,0.467278655,66.77110895,39.70462308,47.68344707,3.1,57.8028252,0.538476685,0.320198573,0.384543928,0.025,0.466151816
124,0.5387,0.3231,0.381580234,0.025,0.467370213,67.30980895,40.02772308,48.06502731,3.125,58.27019541,0.538478472,0.320221785,0.384520218,0.025,0.466161563
